,Question,Option A,Option B,Option C,Option D,Right Answer,Explanation
29,What is the maximum number of years for which a capital loss can be carried forward under the Income Tax Act?,3 years,5 years,10 years,Indefinitely,D,Capital losses can be carried forward indefinitely [general knowledge].  
30,Which section of the Income Tax Act includes rules for the deductibility of interest expenses?,Section 18,Section 19,Section 20,Section 21,A,Section 18 includes rules for the deductibility of interest expenses [general knowledge].  
31,What is the criteria for an expense to be deductible under the Income Tax Act?,Expense must be capital in nature,Expense must be reasonable and incurred to earn income,Expense must be related to personal use,Expense must be non-recurring,B,An expense must be reasonable and incurred to earn income to be deductible [general knowledge].  
32,How are bonuses treated under the Income Tax Act?,Tax-free income,Fully taxable in the year received,Deferred income,Tax-deferred until paid,B,Bonuses are fully taxable in the year they are received [general knowledge].  
33,Which section of the Income Tax Act addresses the inclusion of shareholder benefits in income?,Section 15,Section 16,Section 17,Section 18,A,Section 15 addresses the inclusion of shareholder benefits in income [general knowledge].  
34,What is the treatment of prepaid expenses under the Income Tax Act?,Expensed in the year paid,Capitalized and amortized over time,Deferred until the benefit is received,Deducted immediately,B,Prepaid expenses are capitalized and amortized over time [general knowledge].  
35,How are accrued expenses treated for tax purposes under the Income Tax Act?,Expensed when paid,Deferred until the benefit is received,Expensed when incurred,Not deductible,C,Accrued expenses are expensed when incurred [general knowledge].  
36,"Under the Income Tax Act, what is the main criteria for an expense to be considered capital in nature?",Recurring expense,Related to earning income,Provides a lasting benefit,Personal use,C,An expense is considered capital in nature if it provides a lasting benefit [general knowledge].  
37,What is the tax treatment of dividends received by a corporation under the Income Tax Act?,Fully taxable,Tax-free income,Partially taxable,Deferred income,B,Dividends received by a corporation are generally tax-free [general knowledge].  
38,Which section of the Income Tax Act covers the election to defer stock option benefits?,Section 180,Section 180.01,Section 180.02,Section 181,B,Section 180.01 covers the election to defer stock option benefits  ^2^ .  
39,How is the capital cost allowance (CCA) claimed under the Income Tax Act?,As a tax credit,As a deduction from income,As a tax-free benefit,As a capital gain,B,The CCA is claimed as a deduction from income [general knowledge].  
40,What is the purpose of the capital dividend account under the Income Tax Act?,To defer capital gains,To provide tax-free capital dividends,To split income,To report capital gains,B,The capital dividend account is used to provide tax-free capital dividends [general knowledge].  
41,Which section of the Income Tax Act includes rules for the taxation of stock option benefits?,Section 180,Section 180.01,Section 180.02,Section 181,B,Section 180.01 includes rules for the taxation of stock option benefits  ^2^ .  
42,What is the treatment of shareholder loans under the Income Tax Act?,Considered taxable income,Non-taxable benefit,Tax-free loan,Deferred income,A,Shareholder loans are considered taxable income if not repaid within a specific period [general knowledge].  
43,How are capital gains taxed under the Income Tax Act?,At the full income tax rate,At 50% of the income tax rate,At a lower rate than income,Not taxed,B,Capital gains are taxed at 50% of the income tax rate [general knowledge].  
44,"What is the definition of ""business income"" under the Income Tax Act?",Income from employment,Income from property,Income from a business activity,Income from capital gains,C,Business income is defined as income from a business activity [general knowledge].  
45,Which section of the Income Tax Act covers the rules for income splitting?,Section 73,Section 74,Section 75,Section 76,B,Section 74 covers the rules for income splitting [general knowledge].  
46,What is the main criteria for an expense to be considered deductible under the Income Tax Act?,Expense must be personal in nature,Expense must be capital in nature,Expense must be incurred to earn income,Expense must be recurring,C,An expense must be incurred to earn income to be considered deductible [general knowledge].  
47,How are capital losses treated under the Income Tax Act?,Carried back 3 years and forward indefinitely,Carried back 1 year and forward 5 years,Not deductible,Carried back 5 years and forward indefinitely,A,Capital losses can be carried back 3 years and forward indefinitely [general knowledge].  
48,Question,Option A,Option B,Option C,Option D,Right Answer,Explanation  
49,Which section of the Income Tax Act addresses the rules regarding the taxation of stock option benefits?,Section 180.1,Section 172,Section 94,Section 181.3,A,Section 180.1 of the Income Tax Act addresses the rules regarding the taxation of stock option benefits (output_chunk_1.pdf).  
50,What is the penalty for repeated failure to report income under the Income Tax Act?,5% of unreported income,10% of unreported income,20% of unreported income,25% of unreported income,B,Section 163 of the Income Tax Act states that the penalty for repeated failure to report income is 10% of the unreported income (output_chunk_1.pdf).  
51,Under what conditions can a non-resident shareholder of a Canadian corporation be taxed?,If they have a fixed place of business in Canada,If they own more than 10% of the corporation's shares,If they receive dividends from the corporation,If they are a director of the corporation,C,Non-resident shareholders can be taxed on dividends received from a Canadian corporation (output_chunk_2.pdf).  
52,A taxpayer has unreported income from a side business. Which section of the Income Tax Act deals with penalties for this?,Section 163.2,Section 164,Section 165,Section 166,A,"Section 163.2 deals with misrepresentation of a tax matter by a third party, including unreported income (output_chunk_1.pdf).  "
53,What is the key consideration in determining whether an expense is deductible?,It must be reasonable,It must be capital in nature,It must be incurred in the year,It must be personal in nature,A,"For an expense to be deductible, it must be reasonable and incurred for the purpose of earning income (output_chunk_2.pdf).  "
54,How is the taxable capital employed in Canada for a financial institution calculated?,Based on net income,Based on gross revenue,Based on assets minus liabilities,Based on net capital employed,D,Taxable capital employed in Canada for a financial institution is calculated based on net capital employed (output_chunk_1.pdf).  
55,Which section of the Income Tax Act allows for the carry-forward of capital losses?,Section 181.5,Section 111,Section 94,Section 172,B,Section 111 of the Income Tax Act allows for the carry-forward of capital losses (output_chunk_2.pdf).  
56,What is the criteria for a trust to be considered an exempt foreign trust under the Income Tax Act?,It must be a resident trust,It must be established by a non-resident,It must be governed by specific foreign laws,It must have only non-resident beneficiaries,C,"An exempt foreign trust must be governed by specific foreign laws, such as a Roth IRA under the U.S. Internal Revenue Code (output_chunk_2.pdf).  "
57,When can a taxpayer apply for an extension of time to file an appeal to the Tax Court of Canada?,Within 30 days of the original deadline,Within 60 days of the original deadline,Within 90 days of the original deadline,Within 120 days of the original deadline,C,Section 167 of the Income Tax Act allows a taxpayer to apply for an extension of time to file an appeal within 90 days of the original deadline (output_chunk_1.pdf).  
58,What is the main factor in determining whether a benefit provided to a shareholder is taxable?,The benefit's fair market value,The benefit's cost to the corporation,The shareholder's personal use of the benefit,The shareholder's employment status,A,The main factor in determining whether a benefit provided to a shareholder is taxable is the benefit's fair market value (output_chunk_2.pdf).  
59,Which section of the Income Tax Act deals with the appeal process for a refusal to register or revocation of registration?,Section 169,Section 170,Section 171,Section 172,D,Section 172 of the Income Tax Act deals with the appeal process for a refusal to register or revocation of registration (output_chunk_1.pdf).  
60,What is the tax treatment of amounts received as Old Age Security benefits under the Income Tax Act?,Tax-exempt,Partially taxable,Fully taxable,Non-taxable,C,Old Age Security benefits are fully taxable under Part I.2 of the Income Tax Act (output_chunk_1.pdf).  
61,In which section can you find the definitions related to the tax on large corporations?,Section 180,Section 181,Section 181.1,Section 181.2,B,Section 181 of the Income Tax Act provides definitions related to the tax on large corporations (output_chunk_1.pdf).  
62,Which section outlines the election for special tax and relief for the deferral of stock option benefits?,Section 180,Section 180.01,Section 181,Section 181.1,B,Section 180.01 outlines the election for special tax and relief for the deferral of stock option benefits (output_chunk_1.pdf).  
63,What is the main criterion for an expense to be included in income calculation under Section 4 of the Income Tax Act?,It must be a capital expense,It must be a personal expense,It must be from a source,It must be from an unrelated party,C,Section 4 of the Income Tax Act states that income or loss must be from a source or sources in a place (output_chunk_2.pdf).  
64,Which section of the Income Tax Act defines the income from office or employment?,Section 2,Section 3,Section 4,Section 5,D,Section 5 of the Income Tax Act defines the income from office or employment (output_chunk_2.pdf).  
65,Under which section of the Income Tax Act are the amounts to be included as income from office or employment specified?,Section 5,Section 6,Section 7,Section 8,B,Section 6 specifies the amounts to be included as income from office or employment (output_chunk_2.pdf).  
66,"What is the definition of ""resident portion"" in the context of the Income Tax Act?",Assets located in Canada,Income earned in Canada,Property substituted for other property,Assets held outside Canada,C,Resident portion includes property substituted for other property as per the definitions in the Income Tax Act (output_chunk_2.pdf).  
67,Which section addresses the taxation of shareholders of corporations not resident in Canada?,Section 94,Section 95,Section 96,Section 97,A,Section 94 addresses the taxation of shareholders of corporations not resident in Canada (output_chunk_2.pdf).  
68,"What are the criteria for a trust to be considered a ""resident contributor"" under the Income Tax Act?",Established after 1960,Established before 1960,Resident in Canada throughout the year,Resident in Canada at any point in the year,D,"A ""resident contributor"" is a person who is a resident of Canada at any given time and has contributed to the trust (output_chunk_2.pdf).  "
69,What is the main purpose of Section 7 of the Income Tax Act?,To define capital gains,To address stock options for employees,To define personal expenses,To establish tax rates,B,"Section 7 of the Income Tax Act addresses agreements to issue securities to employees, including stock options (output_chunk_2.pdf).  "
70,Which section of the Income Tax Act deals with taxable capital employed in Canada by financial institutions?,Section 181.1,Section 181.2,Section 181.3,Section 181.4,C,Section 181.3 deals with taxable capital employed in Canada by financial institutions (output_chunk_1.pdf).  
71,What is the primary consideration for determining whether a capital gain is taxable?,Use of the asset,Location of the asset,Holding period of the asset,Disposition of the asset,D,The disposition of the asset is the primary consideration for determining whether a capital gain is taxable (output_chunk_2.pdf).  
72,Under which section can a taxpayer appeal an assessment to the Tax Court of Canada?,Section 169,Section 170,Section 171,Section 172,A,Section 169 of the Income Tax Act allows a taxpayer to appeal an assessment to the Tax Court of Canada (output_chunk_1.pdf).  
73,Which section outlines the tax payable by persons resident in Canada?,Section 2,Section 3,Section 4,Section 5,A,Section 2 of the Income Tax Act outlines the tax payable by persons resident in Canada (output_chunk_2.pdf).  
74,What is the penalty for making false statements or omissions in a tax return under the Income Tax Act?,5% of the understated tax,10% of the understated tax,15% of the understated tax,20% of the understated tax,B,Section 163 of the Income Tax Act imposes a penalty of 10% of the understated tax for making false statements or omissions (output_chunk_1.pdf).  
75,Which section of the Income Tax Act addresses the tax on large corporations?,Section 181,Section 181.1,Section 181.2,Section 181.3,A,Section 181 of the Income Tax Act addresses the tax on large corporations (output_chunk_1.pdf).  
77,Which section outlines the definitions related to the tax on Old Age Security benefits?,Section 180.1,Section 180.2,Section 181.1,Section 181.2,B,Section 180.2 provides definitions related to the tax on Old Age Security benefits (output_chunk_1.pdf).  
78,What criteria must a non-resident meet to be taxed on income from property in Canada?,They must be a Canadian citizen,They must have a permanent establishment in Canada,They must have earned income from the property,They must have a fixed place of business in Canada,C,Non-residents are taxed on income from property in Canada if they have earned income from that property (output_chunk_2.pdf).  
79,Which section deals with the election for special tax and relief for the deferral of stock option benefits?,Section 180,Section 180.01,Section 181,Section 181.1,B,Section 180.01 deals with the election for special tax and relief for the deferral of stock option benefits (output_chunk_1.pdf).  
108,"1. A Canadian corporation purchases a passenger vehicle for $40,000. What is the maximum amount that can be depreciated for tax purposes in the first year under the Capital Cost Allowance (CCA) rules?","A. $8,000","B. $12,000","C. $16,000","D. $10,000",D,"The maximum CCA for passenger vehicles is limited to $30,000 plus sales taxes. With a half-year rule, the maximum first-year deduction would be $30,000 x 15% = $4,500. However, since the vehicle costs $40,000, the CCA is limited to $30,000 x 15% = $4,500.   "
109,"2. An individual receives a $5,000 cash bonus from their employer. Under which section of the Income Tax Act should this amount be included in their income?",A. Section 5,B. Section 6,C. Section 12.1,D. Section 7,A,The cash bonus is included as income from employment under Section 5 of the Income Tax Act.  
110,"3. If a business has an un-depreciated capital cost (UCC) of $100,000 and sells an asset for $120,000, what is the amount of recaptured depreciation?","A. $20,000","B. $10,000","C. $30,000",D. $0,A,"The recapture of depreciation is the amount by which the proceeds of the sale exceed the UCC, up to the amount of CCA previously claimed. Here, it is $120,000 - $100,000 = $20,000.  "
111,4. A shareholder receives a benefit from a corporation in which they hold shares. Which section of the Income Tax Act deals with the tax treatment of this benefit?,A. Section 15,B. Section 84,C. Section 80,D. Section 67,A,Section 15 of the Income Tax Act deals with benefits conferred on shareholders.  
112,"5. A company incurs $10,000 in fines for environmental violations. Are these fines deductible under the Income Tax Act?","A. Yes, fully deductible","B. No, not deductible","C. Yes, partially deductible","D. Yes, deductible over 5 years",B,Section 67.6 of the Income Tax Act specifies that fines and penalties are not deductible.  
113,"6. An individual taxpayer has a capital loss of $15,000 in the current year. How many years can this loss be carried back to offset previous capital gains?",A. 1 year,B. 2 years,C. 3 years,D. 4 years,C,"Under the Income Tax Act, capital losses can be carried back three years to offset capital gains.  "
114,"7. A business prepays $12,000 for a three-year insurance policy. How much of this expense is deductible in the first year?","A. $12,000","B. $8,000","C. $4,000","D. $3,000",C,"Prepaid expenses must be amortized over the period to which they relate. Here, $12,000 / 3 years = $4,000 deductible in the first year.  "
115,"8. A corporation pays $50,000 in dividends to its shareholders. What is the tax treatment of these dividends for the shareholders?",A. Fully taxable at ordinary rates,B. Tax-free,C. Eligible for the dividend tax credit,D. Partially taxable,C,"Dividends received by shareholders are eligible for the dividend tax credit, reducing the tax payable.  "
116,"9. An individual sells a capital asset and realizes a gain of $30,000. What portion of this gain is taxable under the Income Tax Act?","A. $30,000","B. $15,000","C. $20,000","D. $10,000",B,"Under the Income Tax Act, 50% of capital gains are taxable. Therefore, $30,000 x 50% = $15,000.  "
117,"10. A corporation accrues $20,000 in salaries at year-end, to be paid in the following year. What is the tax treatment of this accrued expense?",A. Fully deductible in the current year,B. Not deductible until paid,C. Deductible over 2 years,D. Partially deductible,B,"Accrued salaries are not deductible until they are actually paid, according to the matching principle in the Income Tax Act.  "
118,"11. A taxpayer fails to report $10,000 in income. What are the potential consequences under the Income Tax Act?",A. No consequences,B. Penalties and interest on the unpaid tax,C. Criminal charges only,D. A warning letter only,B,Failing to report income can result in penalties and interest on the unpaid tax under the Income Tax Act.  
119,"12. A business incurs $5,000 in expenses for a holiday party for employees. Are these expenses deductible?","A. Yes, fully deductible","B. No, not deductible","C. Yes, but limited to 50%","D. Yes, but limited to 75%",C,"Entertainment expenses, including holiday parties, are generally only 50% deductible under the Income Tax Act.  "
120,13. An employee receives a taxable benefit in the form of a car allowance. How should this benefit be reported?,A. As a capital gain,B. As income from employment,C. As a non-taxable benefit,D. As a dividend,B,Car allowances are considered taxable benefits and must be reported as income from employment under the Income Tax Act.  
121,"14. A business purchases new machinery for $100,000. What is the first-year CCA deduction if the machinery falls under Class 43?","A. $20,000","B. $50,000","C. $30,000","D. $15,000",C,"Class 43 has a CCA rate of 30%, and the half-year rule applies. Therefore, $100,000 x 30% x 50% = $15,000.  "
122,"15. An individual contributes $5,000 to a Registered Education Savings Plan (RESP). What is the tax treatment of this contribution?",A. Tax-deductible,B. Not tax-deductible,C. Partially tax-deductible,D. Deductible over 10 years,B,Contributions to an RESP are not tax-deductible under the Income Tax Act.  
123,"16. A business has unreported income of $25,000 discovered during an audit. What is the impact on the business's taxable income?",A. No impact,"B. Taxable income increases by $25,000","C. Taxable income decreases by $25,000",D. Taxable income remains the same,B,"Unreported income, once discovered, increases the taxable income by the amount of the unreported income.  "
124,"17. A taxpayer has a net capital loss of $10,000 carried forward from previous years. How can this loss be applied?",A. To reduce any type of income,B. To reduce capital gains only,C. To reduce dividends only,D. To reduce interest income only,B,Net capital losses can only be applied to reduce capital gains under the Income Tax Act.  
125,18. An individual receives a dividend from a foreign corporation. What is the tax treatment of this dividend?,A. Tax-free,B. Eligible for the dividend tax credit,C. Fully taxable,D. Partially taxable,C,Foreign dividends are fully taxable and do not qualify for the dividend tax credit under the Income Tax Act.  
126,"19. A business incurs $2,000 in legal fees related to the acquisition of a capital asset. How should these fees be treated for tax purposes?",A. Expensed in the year incurred,B. Added to the cost of the capital asset,C. Fully deductible immediately,D. Not deductible,B,Legal fees related to the acquisition of a capital asset are added to the cost of the asset and depreciated over time.  
127,20. A corporation issues shares to its employees as part of a stock option plan. How are these shares taxed?,A. Tax-free,B. Taxed as a capital gain,C. Taxed as employment income,D. Taxed as a dividend,C,Shares issued under a stock option plan are taxed as employment income under the Income Tax Act.  
128,"21. An individual sells their principal residence and realizes a gain of $100,000. What portion of this gain is taxable?","A. $100,000","B. $50,000",C. $0,"D. $25,000",C,The gain on the sale of a principal residence is generally exempt from tax under the Income Tax Act.  
129,"22. A business incurs $3,000 in advertising expenses. Are these expenses deductible?","A. Yes, fully deductible","B. No, not deductible","C. Yes, but limited to 50%","D. Yes, but limited to 75%",A,Advertising expenses are generally fully deductible under the Income Tax Act.  
130,"23. An individual receives an inheritance of $50,000. What is the tax treatment of this inheritance?",A. Fully taxable,B. Tax-free,C. Partially taxable,D. Taxable over 5 years,B,Inheritances are generally tax-free under the Income Tax Act.  
131,"24. A business purchases a building for $500,000. How is this asset depreciated for tax purposes?",A. Over 10 years,B. Over 20 years,C. Using the declining balance method,D. Using the straight-line method,C,Buildings are depreciated using the declining balance method under the Income Tax Act.  
132,"25. A corporation pays $30,000 in interest on a business loan. Is this interest deductible?","A. Yes, fully deductible","B. No, not deductible","C. Yes, but limited to 50%","D. Yes, but limited to 75%",A,Interest on a business loan is generally fully deductible under the Income Tax Act.  
133,"26. An individual makes a $1,000 contribution to a political party. What is the tax treatment of this contribution?",A. Fully deductible,B. Not deductible,C. Eligible for a tax credit,D. Partially deductible,C,Contributions to political parties are not deductible but are eligible for a tax credit under the Income Tax Act.  
134,"27. A business incurs $7,000 in travel expenses for a conference. Are these expenses deductible?","A. Yes, fully deductible","B. No, not deductible","C. Yes, but limited to 50%","D. Yes, but limited to 75%",A,Travel expenses for business purposes are generally fully deductible under the Income Tax Act.  
135,"28. An individual receives a $10,000 gift from their employer. How is this gift taxed?",A. Tax-free,B. Taxed as a capital gain,C. Taxed as employment income,D. Taxed as a dividend,C,Gifts from an employer are considered taxable benefits and are taxed as employment income under the Income Tax Act.  
136,"29. A business incurs $15,000 in research and development (R&D) expenses. Are these expenses deductible?","A. Yes, fully deductible","B. No, not deductible","C. Yes, but limited to 50%","D. Yes, but limited to 75%",A,R&D expenses are generally fully deductible under the Income Tax Act.  
137,"30. An individual pays $2,000 in child support. Is this amount deductible for tax purposes?","A. Yes, fully deductible","B. No, not deductible",C. Partially deductible,D. Deductible over 5 years,B,Child support payments are not deductible for tax purposes under the Income Tax Act.  
138,"31. A business prepays $24,000 in rent for the next 12 months. How should this be treated for tax purposes?",A. Fully deductible in the current year,B. Not deductible until the next year,C. Deductible as incurred,D. Deductible over 5 years,C,"Prepaid rent is deductible as incurred over the period it relates to, so $24,000 / 12 months = $2,000 per month.  "
139,"32. An individual receives $5,000 in rental income. How is this income taxed?",A. Tax-free,B. Taxed as a capital gain,C. Fully taxable as income,D. Partially taxable,C,Rental income is fully taxable as income under the Income Tax Act.  
140,"33. A business incurs $10,000 in employee training expenses. Are these expenses deductible?","A. Yes, fully deductible","B. No, not deductible","C. Yes, but limited to 50%","D. Yes, but limited to 75%",A,Employee training expenses are generally fully deductible under the Income Tax Act.  
141,34. An individual receives a taxable benefit in the form of subsidized housing from their employer. How should this benefit be reported?,A. As a capital gain,B. As income from employment,C. As a non-taxable benefit,D. As a dividend,B,Subsidized housing provided by an employer is considered a taxable benefit and must be reported as income from employment under the Income Tax Act.  
142,"35. A business purchases computer equipment for $10,000. What is the first-year CCA deduction if the equipment falls under Class 50?","A. $5,000","B. $10,000","C. $7,500","D. $2,500",A,"Class 50 has a CCA rate of 55%, and the half-year rule applies. Therefore, $10,000 x 55% x 50% = $2,750.  "
143,"36. An individual donates $1,000 to a registered charity. What is the tax treatment of this donation?",A. Fully deductible,B. Not deductible,C. Eligible for a tax credit,D. Partially deductible,C,Donations to registered charities are not deductible but are eligible for a tax credit under the Income Tax Act.  
144,"37. A business incurs $5,000 in moving expenses to relocate an employee. Are these expenses deductible?","A. Yes, fully deductible","B. No, not deductible","C. Yes, but limited to 50%","D. Yes, but limited to 75%",A,Moving expenses incurred to relocate an employee are generally fully deductible under the Income Tax Act.  
145,"38. An individual sells shares and realizes a capital loss of $5,000. How can this loss be applied?",A. To reduce any type of income,B. To reduce capital gains only,C. To reduce dividends only,D. To reduce interest income only,B,Capital losses can only be applied to reduce capital gains under the Income Tax Act.  
146,"39. A business incurs $3,000 in office supplies expenses. Are these expenses deductible?","A. Yes, fully deductible","B. No, not deductible","C. Yes, but limited to 50%","D. Yes, but limited to 75%",A,Office supplies expenses are generally fully deductible under the Income Tax Act.  
147,40. An individual receives a taxable benefit in the form of a gym membership from their employer. How should this benefit be reported?,A. As a capital gain,B. As income from employment,C. As a non-taxable benefit,D. As a dividend,B,Gym memberships provided by an employer are considered taxable benefits and must be reported as income from employment under the Income Tax Act.  
148,"41. A business purchases a passenger vehicle for $35,000. What is the maximum amount that can be depreciated for tax purposes in the first year under the Capital Cost Allowance (CCA) rules?","A. $5,250","B. $7,875","C. $10,500","D. $3,500",A,"The maximum CCA for passenger vehicles is limited to $30,000 plus sales taxes. With a half-year rule, the maximum first-year deduction would be $30,000 x 15% = $4,500.  "
149,"42. An individual receives a $2,000 scholarship. What is the tax treatment of this scholarship?",A. Fully taxable,B. Tax-free,C. Partially taxable,D. Taxable over 5 years,B,Scholarships are generally tax-free under the Income Tax Act.  
150,"43. A business incurs $8,000 in advertising expenses for a foreign market. Are these expenses deductible?","A. Yes, fully deductible","B. No, not deductible","C. Yes, but limited to 50%","D. Yes, but limited to 75%",B,Advertising expenses for foreign markets are generally not deductible under the Income Tax Act.  
151,"44. An individual receives a $3,000 dividend from a Canadian corporation. How is this dividend taxed?",A. Fully taxable at ordinary rates,B. Tax-free,C. Eligible for the dividend tax credit,D. Partially taxable,C,"Dividends received from Canadian corporations are eligible for the dividend tax credit, reducing the tax payable.  "
152,"45. A business accrues $5,000 in interest at year-end, to be paid in the following year. What is the tax treatment of this accrued expense?",A. Fully deductible in the current year,B. Not deductible until paid,C. Deductible over 2 years,D. Partially deductible,B,"Accrued interest is not deductible until it is actually paid, according to the matching principle in the Income Tax Act.  "
153,"46. An individual receives $6,000 in alimony payments. How is this income taxed?",A. Tax-free,B. Taxed as a capital gain,C. Fully taxable as income,D. Partially taxable,C,Alimony payments are fully taxable as income under the Income Tax Act.  
154,"47. A business incurs $4,000 in costs to repair a building. Are these costs deductible?","A. Yes, fully deductible","B. No, not deductible","C. Yes, but limited to 50%","D. Yes, but limited to 75%",A,Repair costs for a building are generally fully deductible under the Income Tax Act.  
155,48. An individual receives a taxable benefit in the form of a low-interest loan from their employer. How should this benefit be reported?,A. As a capital gain,B. As income from employment,C. As a non-taxable benefit,D. As a dividend,B,Low-interest loans provided by an employer are considered taxable benefits and must be reported as income from employment under the Income Tax Act.  
